GetArticles;;;
NumberOfArticles;REST;Grpc;GraphQl
1;1.702;1.724;1.084
10;1.784;1.827;1.185
100;2.773;2.535;2.165
1000;11.752;9.120;11.177
10000;91.895;68.935;100.656
;;;
GetReducedArticles;;;
NumberOfArticles;REST;Grpc;GraphQl
1;3.575;3.678;1.058
10;3.622;3.684;1.107
100;3.946;3.860;1.557
1000;7.512;5.140;6.147
10000;34.602;15.177;52.337
;;;
GetArticlesWithPriceChatty;;;
NumberOfArticles;REST;Grpc;
1;3.363;3.505;
10;18.243;19.404;
100;167.197;175.584;
1000;1,725.205 ;1,747.136 ;
10000;16,987.004 ;17,406.282 ;
;;;
GetArticlesWithPriceBulky;;;
NumberOfArticles;REST;Grpc;GraphQl
1;1.996;2.042;1.919
10;2.191;2.285;9.371
100;3.793;3.450;84.642
1000;18.098;15.707;820.182
10000;159.040;132.789;8,402.723 
